,english_premise,english_hypothesis,english_label
6079,"The cane plantations, increasingly in the hands of American tycoons, found a ready market in the US.",The US market was ready for the cane plantations.,0
6080,yeah what do you do,What is it that you do?,0
6081,"As Russell points out, some 400,000 legal aid cases go unassisted each year.","A lot of legal aid cases go unassisted each year, so this needs to be fixed.",1
6082,little too much maybe,"A bit excessive, possibly. ",0
6083,and uh i know what nothing is when i moved out there,I found out what plenty was when I moved there.,2
6084,"(A bigger contribution may or may not mean, I really, really support Candidate X.) Freedom of association is an even bigger stretch--one that Justice Thomas would laugh out of court if some liberal proposed it.",A bigger contribution means to support candidate Y.,2
6085,A 1997 Henry J. Kaiser Family Foundation survey found that Americans in managed care plans are basically content with their own care.,the Henry Kaiser foundation shows that people like their healthcare,0
6086,"One reason for the high value of MLB teams is the prospect of new, publicly financed ballparks . Owners in Baltimore, Cleveland, Chicago, Denver, and Texas have all reaped major profits from these new facilities, built at little or no cost to the teams.","MLB teams have high value, one of the reasons being new facilities.",0
6087,Another White House murder mystery and a chance to bash the genre.,This is a new angle at White House murder mystery.,1
6088,"More reserved and remote but a better administrator and financier than his uncle, Charles Brooke imposed on his men his own austere, efficient style of life.",Charles Brookes methods were different but superior to those of his uncle.,0
6089,"Write, write, and write.",Writing is a waste of time.,2
6090,The doctor accepted quite readily the theory that Mrs. Vandemeyer had accidentally taken an overdose of chloral.,Mrs. Vandemeyer may have been trying to kill herself. ,1
6091,"But employers are still driving, and that's all that counts.","Employers have continued to operate motor vehicles, and that's all that matters.",0
6092,where they they brew their own beer there,The beer comes from a factory that they purchase it from. ,2
6093,His heels clicked together.,His heels had hurt after clicking.,1
6094,"There's one thing, he thought to himself, ""they can't go on shooting.",He thought to himself that they can continue shooting.,2
6095,Very few emperors were reluctant to submit to Fujiwara domination.,Every emperor thought to be reluctant towards Fujiwara.,2
6096,These rules implement section 106 of the Federal Crop Insurance Reform Act of 1994.,The Federal Crop Insurance Reform Act gave insurance to farmers whose crops didn't succeed.,1
6097,"Clean shaven, I think and dark.""",I think that person was dark and shaven clean.,0
6098,"In an effort to more thoroughly explore this topic, we expanded our discussions beyond the eight organizations that were the primary subjects of our study by requesting the Computer Security Institute to informally poll its most active members on this subject.",The Computer Security Institute is the most helpful organization for this discussion.  ,1
6099,Acute Bronchitis Upper Respiratory Symptoms Lower Respiratory Symptoms Work Loss Days Minor Restricted Activity Days (minus asthma attacks),Acute bronchitis can lead to loss of work days.,0
6100,Saint-Paul-de-Vence,St Louis.,2
6101,: Adrin's Third Lesson,Adrin had three lessons.,1
6102,"Also, I will be assuming that the 6.0a cost of the Postal Service to take the mail from basic to workshared condition is constant as limited quantities of mail move back and forth between basic and workshared.",I have assumed the costs of the postal service's actions in the past.,1
6103,The arts also flourished in India during these early times.,The early times saw the popularity of the arts explode.,0
6104,Its facilities include a swimming pool and a peaceful garden.,There is no swimming pool on the premises.,2
6105,The celebrity-obsessed magazine surpasses itself in the post-Oscar issue.,The magazine always has obscene pictures of celebrities.,1
6106,get something from from the Guess Who or,Get something from someone or the Guess Who if you really want.,1
6107,"What a brilliantly innocuous metaphor, devised by a master manipulator to obscure his manipulations.",The metaphor was created by the manipulator to convince people of something.,1
6108,"COST ASSIGNMENT - A process that identifies costs with activities, outputs, or other cost objects.","Cost assignment is a process that identifies cost with activities, objects or cost objects ",0
6109,in each square,Inside every square.,0
6110,"The great thing is to keep calm."" Julius groaned.",Julius made a groaning sound when he heard the terrible advice.,0
6111,i cried when the horse got killed and when the wolf got killed,Animal killings make me want to cry.,1
6112,"If you have any questions about this report, please contact Henry R. Wray, Senior Associate General Counsel, at (202) 512-8581.",Henry R. Wray will always be available to answer your calls and respond to any questions you may have.,1
6113, Jon took Susan to the mother of the boy who had befriended her.,Jon told Susan to stay where she was.,2
6114," ""Give it to me."" He handed it to her.",She had an impatient tone when she spoke to him.,1
6115,I hope that our common interests will lead us to a consensus - one that will provide the country with significant benefits.,some do not have the hope that common interests will lead us to a consensus.,1
6116,"As recent events illustrate, trust takes years to gain but can be lost in an instant.","Trust, once built, is hard to lose.",2
6117,"In addition, the senior executives at these organizations demonstrated their sustained commitment to financerelated improvement initiatives by using key business/line managers to drive improvement efforts, attending key meetings, ensuring that the necessary resources are made available, and creating a system of rewards and incentives to recognize those who support improvement initiatives.",Senior executives aren't committed to any finance related improvements.,2
6118,Homes or businesses not located on one of these roads must place a mail receptacle along the route traveled.,The other roads are far too rural to provide mail service to.,1
6119,"The much-previewed profile of Michael Huffington reveals that he is--surprise, surprise--gay.",Michael Huffington is gay.,0
6120,"If the collecting entity transfers the nonexchange revenue to the General Fund or another entity, the amount is accounted for as a custodial activity by the collecting entity.",The General Fund handles nonexchange revenue.,0
6121,Welts grew on each of the man's cheeks.,There were welts growing on each of the man's cheeks.,0
6122,"A stable funding level not only supports GAO's strong return on investment of $57 for every $1 spent, it creates the environment necessary to recruit, retain, compensate, train and motivate a strong and capable workforce.",This is one of the highest returns on investment out of all the government agencies.,1
6123,Routine screening and intervention will require engendering a sense of role responsibility among emergency department clinicians towards addressing substance abuse.,Routine screening has no impact on substance abuse prevention.,2
6124,"Instead, the task of defending Bradley fell to Erving, who shrugged that it's probably a debatable issue, but knowing Sen.",Erving was a new attorney who didn't have a lot of courtroom experience.,1
6125,"Long famous as the home of artists and bohemians, who call it La Butte ( The Mound ), Montmartre is an essential piece of Paris mythology.",Montmarte is no part of Paris mythology.,2
6126,Saddam could emerge strengthened (and America tarnished) in the eyes of the Arab world.,Saddam could turn out weaker.,2
6127,The FDA solicited comments on these requirements in the notice of proposed rulemaking and has evaluated and responded to them in the preamble to the final rule.,The FTA had sought out comments on these requirements relating to the proposed rulemaking.,0
6128,"Punditus Interruptus, The Final ","Punditus Interruptus, The Second Chapter",2
6129,One he broke back to about the length of his forearm.,He snapped a twig so it was the same length as his forearm.,1
6130,Jon shifted and the sword tip slid past.,The man tried again to stab him.,1
6131,Are you sure we should take him down there?' Greuze asked Natalia.,Natalia asked Greuze if it was logical to take him down there.,0
6132,"Most recently, GAO reviewed activities of the White House China Trade Relations Working Group, which was established at the request of President Clinton in the exercise of his Constitutional powers.",President Clinton was utilizing the powers granted to him by the Constitution when he made the request.,0
6133,"Pro-Microsoft analysts spin this as a heroic sacrifice, removing the lightning rod whose seemingly disingenuous testimony has ostensibly driven the DOJ to the verge of demanding the company's breakup.",Pro-Apple analysts say that was a sacrifice for the company.,2
6134,"From that spot she could see all of them and, should she need to, she could see through them as well.",She wasn't able to see them.,2
6135,"Bauerstein.""",Doctor Bauerstein,1
6136," ""So your girl writes that your little farewell activity didn't fare so well, eh?"" he chortled.",Your girl wrote that your farewell activity didn't go well.,0
6137,kind of kind of nothing i won't have anything to do with,I'd love to get involved more with it.,2
6138,"Try a selection at the Whisky Heritage Centre (they have over 100 for you to sample), where you can then buy a bottle or two of your personal favorite in the shop or in stores around the city.",Whisky Heritage Centre was established in the 1800s and has been a destination ever since.,1
6139,for a change i i got i get sick of winter just looking everything so dead i hate that,Everything is dead in winter.,0
6140,'You've double-crossed me about four times in one afternoon.,I'm glad you aren't double crossing me anymore. ,2
6141,"I entered her shack, opening the painted door covered in runes of warding.","I entered the shack through the hole in the ceiling.  It was abandoned, and smelled musty and odd.",2
6142,The Washington Post called it the culmination of a six-month game of political chicken.,It has been called by the Washington Post as a beautiful situation.,2
6143,"And here, current history adds a major point.",A major point is added by current history.,0
6144,oh yes yeah yeah yeah that's true too that's true,That is true.,0
6145,"He was a pilot, not a platoon leader.","He was no platoon leader, but a lowly pilot.",0
6146,"She graduated in 1995 owing $58,000 in loans.",She had thousands in student loans.,0
6147,"If necessary to meeting the restrictions imposed in the preceding sentence, the Administrator shall reduce, pro rata, the basic Phase II allowance allocations for each unit subject to the requirements of section 414.",Section 414 helps balance allowance allocations for units.,0
6148,"Also, why Princess Di was like President  The public cared more about her empathy than about her actions.",The public cared more about her actions than her empathy.,2
6149,"Rep. Charles Rangel, D-N.Y.: I would say that if you had members of the KKK, that were not directly tied to the murder--that they did not do the murder--that 90 years [in jail] would be excessive.",Rep. Charles Rangel is a politician. ,0
6150,He and his associates weren't operating at the level of metaphor.,His associates' boss was operating at the level of the metaphor. ,2
6151,Tuppence frowned.,"Tuppence made a face, then smiled. ",2
6152,"In addition, special service areas are funded for two populations with special needs - Native Americans and migrant workers.",There are special areas for Native Americans which are funded by the United States government. ,1
6153,i'm not exactly sure,I'm completely sure.,2
6154,so uh i hope you like your office,I hope you like your new office.,1
6155,in one sense um i'm i'm an older person in my fifties so i feel that we've lost some things in the sense that women have to work today,My views as someone who's 50 are not modern.,1
6156,"agencies' operating trust, enterprise and internal service funds) are required to produce auditable financial statements.",Agencies must produce financial statements that can be audited.,0
6157,"Unfortunately, the magnet schools began the undoing of desegregation in Charlotte.",Desegregation was becoming disbanded in Charlotte thanks to the magnet schools.,0
6158,um-hum um-hum yeah well uh i can see you know it's it's it's it's kind of funny because we it seems like we loan money you know we money with strings attached and if the government changes and the country that we loan the money to um i can see why the might have a different attitude towards paying it back it's a lot us that  you know we don't really loan money to to countries we loan money to governments and it's the,We loan a lot of money with strings attached.,0
6159,"He looks so awfully tired and bored, and yet you feel that underneath he's just like steel, all keen 38 and flashing.",He looks fresh and keen about it.,2
6160,I took to him at once.,"I was immediately repulsed by him, and still feel the same way about him. ",2
6161,"After the recovery of Jerusalem in 1099, it took four hundred years of sieges and battles, treaties, betrayals, and yet more battles, before Christian kings and warlords succeeded in subduing the Moors.","The Moors were African tradesmen, sailors and educators.",1
6162,"As legal scholar Randall Kennedy wrote in his book Race, Crime, and the Law , Even if race is only one of several factors behind a decision, tolerating it at all means tolerating it as potentially the decisive factor.",Race is one of several factors in some judicial decisions,0
6163,i don't know um-hum,I know very well.,2
6164,4 billion for mercury.,Mercury cannot be quantified.,2
6165,"Moreover, it is possible to have questions that require nested case studies.","Also, questions can require nested case studies, so wrap your heand around it.",0
6166,"We should seek to achieve the most good or benefit, with the least harm and destruction of things that we value, he argued.",The crowd did not agree with his argument.,1
6167,But the third try worked better.,The third try worked better than the other two.,0
6168,17 An alternative to unaddressed mail would be to auction off the right to be a third bundle on specific days in specific post offices.,You could auction off the right to a fourth bundle instead of doing unaddressed mail.,2
6169,"MC2000-2, was initially considered and recommended by the Commission under the market test rules.",MC2000-2 was not recommended by the Commission.,2
6170,"experiencing cost growth, manufacturing problems with test aircraft, and testing delays.",Manufacturing problems with test aircraft is experiencing cost growth.,0
6171,"During the hottest hours, things come to a virtual standstill, though the Caribbean siesta is an hour or two shorter than its Mediterranean counterpart.",Things slowed down because there were not enough people to assist.,1
6172,"On the window above the sink a small container is stuffed with bits of leftovers--the red berries of barberry, small twigs of willow, cuttings of hinoki cypress with its fruits attached, and the pendulous leathery seed pods of wisteria.",There is a container on the window containing organic matter.,0
6173,"The tomb of Job Charnock, the Company official who founded the city of Caletta, is in the church cemetery.",The tomb of Job Charnock is in the church cemetery.,0
6174,the wagon man got killed when they attacked him,The wagon man had committed a crime.,1
6175,Bien! he said at last. ,He had a slip of the tongue.,1
6176,"Where do you think she can be, Sir James?"" The lawyer shook his head.",Where did she go?,0
6177,i understand i can imagine you all have much trouble up there with insects or,"well, at least you don't have any insects there",2
6178,uh the one we thought would be the most timid uh turned out to be the one that stuck with it and was the first to learn,The one that was first to learn was the one we anticipated to be timid. ,0
6179,"There's a lot of villas all the way along, but by degrees they seemed to get more and more thinned out, and in the end we got to one that seemed the last of the bunch.","There's a lot of huge villas all the way along, but they seemed to get more and more thinned out and bigger and bigger until we reached the largest and most secluded one that seemed to be the last.",1
6180,right yeah that's it's always handy to have that that credit card for whatever it is that you might need it for,It is always convenient to have a credit card.,0
6181,Czarek had to fight for attention:,Czarek had to fight two people for attention. ,1
6182,really oh i thought it was great yeah,that was a nice experience,0
6183,"will never be doused (Brit Hume, Fox News Sunday ; Tony Blankley, Late Edition ; Robert Novak, Capital Gang ; Tucker Carlson, The McLaughlin Group ). The middle way is best expressed by Howard Kurtz (NBC's Meet the Press )--he scolds Brill for undisclosed campaign contributions and for overstretching his legal case against Kenneth Starr but applauds him for casting light on the media.",They did not think anything was wrong with the contributions not being disclosed.,2
6184,IQ boosting was achieved through a fetal replacement process where the embryos from two carefully selected mothers were to be switched from one to another.,IQ boosting can be done through fetal replacement.,0
6185,These two accounts are commonly combined in discussing the Social Security program.,The Social Security program involves the combination of these two accounts.,0
6186,Game-trackers will be out by this time in an attempt to locate the tiger's hunting ground for the evening safari.,The tigers will be eating their prey now.,1
6187,uh my uh roommate took a voice over course,There was no voice over course available to take. ,2
6188,"The average MLS ticket costs a mere $13, one-third the price of an NHL or NBA ticket.","The average cost of the tickets was about the same between the MLS, NHL, and NBA.",2
6189,oh for heaven sakes for the drugs yeah uh-huh,I don't really believe that.,1
6190,"The ITC has enlisted legal services attorneys from across the state to manage each of the 12 categories, and those volunteers will organize contributions and add them to a searchable database.",The volunteers had to write it down with pen and paper as there were no computers to use.,2
6191,"Good spots for blues are Harvelle's Blues Club in Santa Monica, Jack's Sugar Shack in Hollywood, and the House of Blues in West Hollywood.",Harvelle's Blues Club in Santa Monica is a terrible spot for blues shows.,2
6192,"Zoom-out vs. zoom- Ever since Roe , pro-life posters and pamphlets have depicted isolated fetuses.",Pro-life posters haven't depicted isolated fetuses at all after Roe.,2
6193,"For example, a case study of the effectiveness of a job training program might need to take into account general economic trends, such as unemployment rates in the community.",The case study would be incomplete without the acknowledgement of general economic trends.,1
6194,The company later told us that it had discontinued the program because of its adverse effect on employee morale.,The company later told us that it had enhanced the program due to high morale.,2
6195,Number of testimonies,There are a number of testimonials. ,0
6196,"Britain's best-selling tabloid, the Sun , announced as a front-page world exclusive Friday that Texan model Jerry Hall has started divorce proceedings against aging rock star Mick Jagger at the High Court in London.",There is a British publication called the Sun.,0
6197,have that well and it doesn't seem like very many people uh are really i mean there's a lot of people that are on death row but there's not very many people that actually um do get killed,There are only a couple of people are on death row.,2
6198,"Founded in 1979, AFFIRM's members include information resource management professionals within the federal, academic, and industry sectors.",AFFIRM was founded in the early 2000s.,2
6199,The last stages of uploading are like a mental dry-heave.,The final part of uploading feels like a mental dry-heave.,0
6200,Over their backs fell the cutting lashes of a whip.,They were whipped everywhere else except for their backs.,2
6201,"Julius Caesar's nephew Octavian took the name Augustus; Rome ceased to be a republic, and became an empire.","Octavian, Julius Caesar's nephew, took the name Augustus; Rome ceased to be a republic, and became an empire.",0
6202,The purpose of the Diwan-i-Khas is hotly disputed; it is not necessarily the hall of private audience that its name implies.,The purpose of Diwan i Khas is disputed.,0
6203, Ibiza's seven-bulwark defences are almost completely intact.,Ibiza's defensive walls are almost entirely intact.,0
6204,'And I don't want to risk a fire fight with what appear to be horribly equal numbers.',I want to fight.,2
6205,"Summer boasts long, warm days with strong sunlight and hazy views.",You should pack a sweater and other warm clothing if you visit during the cool Summer months.,2
6206,"I'm not interested in tactics, Al.",Al is very interested in tactics.,1
6207,"For more than a year, Clinton's surrogates have been calling Starr an out-of-control prosecutor.",Starr has never investigated Clinton.,2
6208,You name it L.A.'s got it.,L.A. even has things you can't even name.,1
6209, 9th circa b.c.First signs of pre-Roman Etruscans,The most accurate accounts of pre-Roman Etruscans.,1
6210,and i'm pretty happy with it so far,It's working out so far.,0
6211,"Today, the island is little more than a forgotten backwater with few ferry connections to other islands, but its strong natural defenses gave it advantages in ancient times.",The backwater has been forgotten because it is surrounded by debris.,1
6212,"It was replaced in 1910 by the famous old pontoon bridge with its seafood restaurants, which served until the present bridge was opened in 1992.","The famous old pontoon bridge with its seafood restaurants, served from 1910 until 1992.",0
6213,"The vineyards hug the gentle slopes between the Vosges and the Rhine Valley along a single narrow 120-km (75-mile) strip that stretches from Marlenheim, just west of Strasbourg, down to Thann, outside Mulhouse.",There is nothing on the slopes between Vosges and Rhine Valley.,2
6214,"First, get the basics right, that is, the blocking and tackling of financial reporting.",The basics don't need to be right first.,2
6215,because then they'll or you have a prescription,You would have a prescription.,0
6216,"Helms, who will be 81 when his fifth term ends, is increasingly frail.",Helms will turn 91 soon.,2
6217,Don't forget to take a change of clothing and a towel.,Remember to replace your towel and clothing.,0
6218,right that's that's supposedly,"No, not possible.  ",2
6219,for one twelve dollar check,Several checks for twelve dollars.  ,2
6220,yeah that's probably a  a little bit under what it is for this time of year i i think i haven't seen the weather the news the weather on the news in the evening lately but i think the average high would be it should be about seventy,All I do is watch the weather channel and I'm totally up to date on it.,2
6221,What and who will they tax?,From where will they make tax money?,0
6222,"As Ben Yagoda writes in the New York Times Book Review , somewhere along the way, Kidder must have decided not to write a book about Tommy O'Connor.",A book was written about Tommy O'Connor. ,2
6223,uh yeah they were uh they were very good i was impressed,They were impressive to me.,0
6224,"TIG funds support the Technology Evaluation Project, an initiative of the Legal Aid Society of Cincinnati.",The Technology Evolution project is located in Florida.,2
6225,"As long as Assad lives, he can manage these troubles and keep an agreement with Israel.",The only way for Assad to take care of the trouble is for him to die. ,2
6226,"In the first instance, IRS would have no record of time before the person could get through to an agent and of discouraged callers.",The callers are encouraged to call multiple times.,1
6227,yeah yeah and i took a five year note out on my car when i right when i got out of college and uh i'll never do that again i still got a couple of years on it to go and i'm,"I took a five year note out on my car when I got out of college, and I'll never do that again.",0
6228,"In Hong Kong you can have a plate, or even a whole dinner service, hand-painted to your own design.",You can design your own plate or whole dinner service in Hong Kong.,0
6229,so we're expecting our local economy to,We have no expectations of our local economy.,2
6230,"An ancient Greek trading post, the town manages to combine the atmosphere of a resort with a gutsy, bustling city life.","The town is known for being quiet and peaceful, free of hustle and bustle.",2
6231,well uh what do you think about taxes do you think we're paying too much,We pay just the right amount of taxes.,2
6232,The campaigns seem to reach a new pool of contributors.,The campaign drew in a new crowd of funders ,0
6233,and uh as a matter of fact he's a draft dodger,"He's never shirked from the draft, even when it was most dire.",2
6234,"8 A stoichiometry of 1.03 is typical when the FGD process is producing gypsum by-product, while a stoichiometry of 1.05 is needed to produce waste suitable for a landfill.",A stoichiometry of 1.03 is typical when the FGD process is producing gypsum by-product,0
6235,"To control land and sea routes to the south, the Mauryas still needed to conquer the eastern kingdom of Kalinga (modern Orissa).",The Mauryas had a large army capable of conquering Kalinga.,1
6236,"Last year, they were spooked.",They were spooky. ,2
6237,"Remember, there are over 844 million Indians out there, and a lot of them will be on the move at the same time as you will be, therefore competing for plane seats and hotel rooms.",There are often not enough hotel rooms for everyone.,1
6238,hey it's reaching all over,It is widespread.,0
6239,He says he brought the proposal for professional parachute helmets with an air-bag system.',He didn't buy the helmet proposal.,2
6240,and take it easy now good night,"Goodnight, and take care.",0
6241,i was trying to think about some of my favorite people that i liked in music and they're none of them are recent right,All of my favorite musicians are current. ,2
6242,i think the rate of processing is just about uh reached the rate of housing anyway so keep the keep the normal as it is can't upset the system very much,The rate of processing just reached the rate of housing.,0
6243,"Auditors may use an engagement letter, if appropriate, to communicate the information.",Auditors may use an engagement letter to communicate with the stakeholders.,1
6244,"Since 1998, LSC has initiated and overseen significant structural changes in the number and configuration of LSC-funded programs in order to develop more powerful and effective state delivery systems.",LSC has developed better state delivery systems.,0
6245,The Palace of Jahangir is built around a square court with arches.,The Spanish Palace has a round court inside.,2
6246,"Well, we will come in and interview the brave Dorcas."" Dorcas was standing in the boudoir, her hands folded in front of her, and her grey hair rose in stiff waves under her white cap. ",Dorcas is a coward and has no hair. ,2
6247,"By then, the program had added Carroll and Grayson counties and the city of Galax and had five attorneys.",The program was expanding quickly.,1
6248,"To the west of the city at Hillend is Midlothian Ski Centre, the longest artificial ski slope in Europe.",The Midlothian Ski Centre is in the area of Hillend.,0
6249,yeah well that's my uh i mean every time i've tried to go you know it's always there's there's always a league bowling,Every time I try to go bowling there are leagues only and I can't bowl.,0
6250,"It is housed in a Martello A series of such towers, some 12 m (40 ft) high and 2.5 m (8 ft) thick, were constructed along the coast at the beginning of the 19th century to guard against invasion by Napoleon.","In total, seven towers were built along the coast, and tourists can visit all of them.",1
6251,"A button on the Chatterbox page will make this easy, so please do join in.",They wanted to make the site very user friendly.,0
6252,The first installment of the Star Wars Trilogy Special Edition opened in theaters everywhere.,The second installment of Star Wars is in theaters. ,2
6253,"Growth continued for ten years, and by 1915 the town had telephones, round-the-clock electricity, and a growing population many of whom worked in the railroad repair shop.","Economic growth continued apace, with many people employed by the railroad repair shop.",0
6254,The pieces are unloaded and fed into sorting machines.,Sorting machines help a lot ,1
6255,"In the midst of a final desultory polishing of her silver, Tuppence was disturbed by the ringing of the front door bell, and went to answer it.",Tuppence polishes her silver every day and hates to be disturbed.,1
6256,senior management oversight and approval ofRequired acquisition objectives and plans.,"the referenced organization is expansive, with a number of other divisions in addition to the senior management division.",1
6257,He's been mean-spirited and vicious for so long that editors and reporters are tired of hearing about it.,Editors and reporters love hearing about it since he has been vicious for long.,2
6258,"In a still faintly Victorian atmosphere, Dinard has preserved all the best assets of a good luxury villas and long, paved promenades, plush hotels, elegant boutiques, discothyques, casino, parks and gardens, and an Olympic-size public swimming pool.",Many rich and famous people have made Dinard their preferred vacation spot through the years.,1
6259,"Even after having just seen Adrin's skill with his rapier, Ca'daan had not seen a man move so sure and so naturally with such devastating results.",Adrin was the most talented man with a rapier on the planet.,1
6260,We will also need any able bodied men to help us spike the river.,We need men to help us spike the river.,0
6261,"For instance, one state government CIO attributed his success to his breadth of experience across a variety of financial, retail, and IT units, which facilitates his ability to",There was not a single state where it was successful.,2
6262,This points to a final press-friendly quality of McCain' brilliant flattery.,"This leads to a final press-friendly quality of McCain' brilliant flattery, said the journalist.",1
6263,"I saw that a faint streak of daylight was showing through the curtains of the windows, and that the clock on the mantelpiece pointed to close upon five o'clock. ",I saw that it was still the middle of the night.,2
6264,He's chosen Meg Ryan.,A possible selection would be Meg Ryan or Jon Doe.,2
6265,"To provide a useful perspective on how alternative levels of national saving affect future living standards, we also compared our simulation results to a historical benchmark.",Simulations are useful when used in comparison to a historical benchmark.,0
6266,Arafat is also ailing and has no clear successor.,Arafat is also ailing and has no clear successor that is willing to wear his hats.,1
6267,"She seemed so different  """,She acted rather different.,0
6268,"The same year, the University of Hawaii campus at Manoa became the site of the Center for Cultural and Technical Interchange Between East and West (popularly known as the East West Center), a unique and venerated resource for advanced Pacific Rim studies.",The University of Hawaii became known as the site for advanced studies.,0
6269,"General Motors, for instance, lost $460 million to strikes in 1997, but investors treated the costs as a kind of extraordinary charge and valued the company as if the losses had never happened.",GM lost a lot of money in labor disputes.,0
6270,"In an effort to more thoroughly explore this topic, we expanded our discussions beyond the eight organizations that were the primary subjects of our study by requesting the Computer Security Institute to informally poll its most active members on this subject.",We kept silent to all organizations outside of the original eight.  ,2
6271,"The emotional effect is undiminished, and the gory effects are usually horribly creative.",The emotional effect includes feelings of horror and dismay.,1
6272,"As a basic guide, the symbols below have been used to indicate high-season rates in Hong Kong dollars, based on double occupancy, with bath or shower.","As you can see, the symbols are of dolphins and octopuses.",1
6273,Ca'daan saw confidence flow back into the young man.,Ca'daan saw the man lose all confidence.,2
6274,um-hum you mean when the reporter sticks the the microphone in the person says the face and says how do you feel that you house has burned to the ground,Reporters often confront people with difficult questions about events.,0
6275,"Total electricity expenditures increase by about 15% to 30% depending on the year and the scenario (see Table 3, below, and the tables in Appendix 5.2 for more detail on the changing pattern of expenditures).",They wanted to make a case for how to save on electricity. ,1
6276,my goodness it's hard to believe i didn't think there was anybody in the country who hadn't seen that one,I thought I was the only one in this country who had seen it. ,2
6277,"They wanted you, so they got you.""  Dave considered it.",They obtained you because they wanted you.,0
6278,His authoritarian rule has prevented the emergence of future leaders and the development of strong civic and political institutions.,"Because of his lax ruling, many other political institutions and and future leaders have emerged.",2
6279,Kyoto's kabuki troupe performs in December and Osaka's in May.,Osaka does not have a kabuki troupe.,2
6280,what do you think about uh about our new governor since she happens to be a female,What do you think of our new female governor?,0
6281,It spoils the sport.,It ruins the fun.,0
6282,get something from from the Guess Who or,Take something from the Guess Who.,0
6283,"A politician connected with the home service of his parliamentary section's boss, with the mobile phone number 0-609-3459812, and known for his lack of sense of humor, did not take too well to a message from 'Admirer' - 'Wishes shovel best'.","Upon calling his boss's home service, the politician didn't take too kindly to a message from an 'admirer'.",0
6284,"In addition, because funding is secured on an","In addition, because funding isn't secured on an",2
6285,"For an authentic feel of old Portugal, slip into the cool entrance hall of theimpressive Leal Senado ( Loyal Senate building), a fine example of colonial architecture.",Leal Senado is a perfect example of colonial building design.,0
6286,"Daniel sat buried by the lights, occasionally pressing things.","Daniel sat on the forest floor, surrounded by hyenas. ",2
6287,These rules were not used extensively.,The rules were unfair to the employees.,1
6288,"Every fresh circumstance seems to establish it more clearly.""",Every new thing seems to prove it.,0
6289,"Small boats tie up here with batches of crayfish, fresh fish, and eel, and housewives clamor for the fishermen to weigh their choices on rudimentary scales.",They fisherman caught 500 pounds of fish today. ,1
6290,"A piece describes the Learning Channel's new women-targeted reality TV  A Wedding Story , A Baby Story , and A Dating Story , featuring real-life marriages, babies, and dates.",The Learning Channel has shows for women.,0
6291,well yeah that really is scary,It doesn't scare me.,2
6292,"Of particular significance --the American public has become acutely aware of the hazards to their health, including the risk of mortality, posed by inhalation of fine particles and exposure to mercury through fish consumption.",The consumption of fish is the main way in which mercury poisoning occurs.,1
6293,yeah and every once in a while they'll have dressing but uh whoever makes it uh goes crazy with the sage,Sometimes they have dressing but they use too much sage and salt.,1
6294,FDA suggests there may be an association between BSE and a form of human TSE known as new variant Creutzfeldt-Jakob disease.,The FDA found an association between the ESB to the EST.,2
6295,uh it's in Georgia it's yeah it's right outside of Macon and and it's just a i like the way that i like the way that idea of the south is,It's located just outside of Macon in Georgia.,0
6296,no never heard of it,He has definitely heard of it.,2
6297,during the whole war he never put out like a conservation a conservation effort for oil,The Iraq war battlefield often contained many oil fields.,1
6298,"I am not aware of any studies comparing the number of words an average person could expect to hear spoken in a typical day 500 years ago vs. the number that can be heard now, but the increase surely is vast.","According to the research I've seen, the average person hundreds of years ago heard many more words over the course of the day compared to a modern human being.",2
6299,from from personal parties or from these uh phone answering phone uh commercial things,Do you get arrested from personal parties?,1
6300,"Auditors may use an engagement letter, if appropriate, to communicate the information.",Auditors may not use an engagement letter to communicate.,2
6301,they eat a lot of it you know you can take your vitamins and she was telling me to take zinc so anyway i've been taking enough zinc you know  to kill a horse probably  i hope it doesn't hurt me but anyway  i did read one chapter of that,The author advised that zinc supplements are good for health.,0
6302,"The route passes in sight of two uninhabited Es Vedr? , which hovers like an apparition on the horizon off to the west, and Espalmador, which is popular with yachtsmen for its white-sand beach.",Espalmador is popular with yachtsmen for it's white sand beach.,0
6303,This breakdown of PA-Israeli cooperation is the basis for the Israeli complaint that Arafat is culpable for last week's Jerusalem bombing.,This breakdown of PA-Israeli cooperation is the basis for Israeli complaints that Arafat is culpable for last weeks Jerusalem bombing and the ones before it.,1
6304,With a little practice almost anyone can flip off to an interesting rock formation and watch the multi-coloured fish pass in review.,It would take years of practice to be able to jump off a rock.,2
6305,Both professors soon realized that creating a new language was not an easy task.,Professors realized it was hard to make a new language.,0
6306,"The notable thing for me about the Left Behind series--beside the fact that few in the secular media have noticed that millions of Americans are busy reading books warning about the imminence of one-world government, mass death, and the return of the Messiah, is that all the Jewish characters are Christian.",All the Jewish characters in the Left Behind series are actually Christian.,0
6307,U.S. civil legal services delivery system.,The us has a legal services delivery system ,0
6308,A fresh access of pain seized the unfortunate old lady. ,"The lady lay calmly, with no signs of pain on her face.",2
6309,defiantly if you live in an apartment right,Unless you live in a house.,1
6310,i think Buffalo is an up an coming team they're going to they're showing some real promise for the next uh few years,I think Buffalo sucks.,2
6311,"The basic elements of life in the Aegean began to come together as early as 5000 b.c. , and were already in place by the late Bronze Age (c.",Aegean life was going well.,1
6312,The family. ,The couple.,1
